fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,05,BIHAR,0522,MADHEPURA,566513,1265567.16916667,6,0,0,485,63,21121,12,0,49571,0,2444,0,151.8680603,2,2,167635,225130,0,470295,652622,21606,151.8680603,12,79,0,0,100,NA
2025-2026,April,05,BIHAR,0525,KHAGARIA,279740,9742.83455555556,4,0,1.19904,200,26,13504,810,223,19456,0,407,0.31202,80.4280199,174,174,90704,100638,0,348145,421412,13704,78.9169599,700,78,81.8,0,100,NA
2025-2026,April,05,BIHAR,0541,ARARIA,820034,5429.40823954842,1,3,0,811,42,28080,5669,215,47095,31,4547,0,307.7931531,3650,4293,254815,341606,0,689168,947124,28891,307.7931531,3762,65,55.66,0,100,NA
2025-2026,April,05,BIHAR,0503,BHOJPUR,538704,11106717.13,1,0,0.42124,130,91,23374,1,0,40419,0,2161,2.67255,114.1609613,1,1,163817,186275,0,591905,831172,23504,111.0671713,0,71,0,0,100,NA
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,0,0,0,0,93,138,17047,0,0,62972,0,4658,0,102.4516544,0,0,188950,234594,0,441450,554312,17140,102.4516544,0,35,0,0,0,NA
2025-2026,April,05,BIHAR,0505,AURANAGABAD,1211590,0,0,0,6.7342,128,67,20566,0,0,96870,0,2605,0,221.0076168,0,0,232356,292881,0,541888,691815,20694,214.2734168,0,32,0,0,0,NA
2025-2026,April,05,BIHAR,0511,GOPALGANJ,600651,0,0,0,0,78,119,15559,0,0,20268,0,5958,0,101.8018365,0,0,114456,136261,0,315570,370248,15637,101.8018365,0,31,0,0,0,NA
2025-2026,April,05,BIHAR,0515,MUZAFFARPUR,1366076,0,0,0,0,105,232,29840,0,0,67614,0,3968,0,321.1898784,0,0,293528,369051,0,866379,1117187,29945,321.1898784,0,64,0,0,0,NA
2025-2026,April,05,BIHAR,0543,SHEOHAR,184334,0,0,0,0.06195,7,32,9309,0,0,13487,0,78,0,42.6404069,0,0,63041,88880,0,151741,203055,9316,42.5784569,0,64,0,0,0,NA
2025-2026,April,05,BIHAR,0545,BANKA ,654745,579430.813846154,1,0,1.10331,162,68,18179,13,1,35101,0,11030,0,76.4293158,13,13,153423,201401,0,496141,632033,18341,75.3260058,7,64,0,0,100,NA
2025-2026,April,05,BIHAR,0503,BHOJPUR,538704,25578.8251286449,1,1,0.42124,568,28,24040,1166,167,40584,3,2174,0,298.670341,942,968,165125,187711,0,596401,835824,24608,298.249101,563,72,1.68,0,100,NA
2025-2026,April,05,BIHAR,0517,BEGUSARAI,505498,34280.9638943599,3,0,1.85073,649,56,28593,1117,55,27414,0,312,0,384.7690967,281,283,152109,190139,0,569952,719983,29242,382.9183667,572,73,17.53,0.03,100,NA
2025-2026,April,05,BIHAR,0522,MADHEPURA,566513,1265312.16916667,6,0,0,482,64,21131,12,0,49569,0,2444,0,151.8374603,2,2,167638,225124,0,469709,651806,21613,151.8374603,12,79,0,0,0,NA
2025-2026,April,05,BIHAR,0526,MUNGER,763620,105247.242980769,8,0,0,177,53,12379,104,0,17565,0,3849,0,109.4571327,13,13,125845,147533,0,235726,276364,12556,109.4571327,16,49,1.2,19.42,100,NA
2025-2026,April,05,BIHAR,0549,KAIMUR (BHABUA),630354,103221.394111111,1,1,0,175,39,11196,180,41,54269,4,10256,0,185.7985094,170,170,142816,188048,0,320229,413076,11371,185.7985094,118,29,0,0,100,NA
2025-2026,April,05,BIHAR,0512,PASHCHIM CHAMPARAN,909891,278606.571344538,1,0,0,246,103,31035,119,2,34059,0,27652,0,331.5418199,97,99,263397,338804,0,766888,965173,31281,331.5418199,86,44,0.81,0,100,NA
2025-2026,April,05,BIHAR,0513,PURBI CHAMPARAN,1594450,238314.072881356,1,1,0,615,131,46943,236,21,92468,0,9021,0.7443,563.165512,207,207,417001,506055,0,1155396,1461949,47558,562.421212,175,54,0,0,100,NA
2025-2026,April,05,BIHAR,0517,BEGUSARAI,505498,2338208.40333333,1,0,1.85073,450,79,28660,12,0,27407,0,311,0,282.4357384,7,7,151886,189774,0,567779,717067,29110,280.5850084,6,73,16.72,0,100,NA
2025-2026,April,05,BIHAR,0518,SAMASTIPUR,1430898,13820.2726143791,1,13,0,1292,102,55400,3213,305,104348,2,1819,0,444.0453591,2657,2775,380675,432625,0,991571,1126402,56692,444.0453591,2144,56,0,0.06,100,NA
2025-2026,April,05,BIHAR,0522,MADHEPURA,566513,0,0,0,0,438,76,21222,0,0,49681,0,2447,0,133.1428603,0,0,167836,225327,0,468426,650139,21660,133.1428603,0,79,0,0,0,NA
2025-2026,April,05,BIHAR,0547,Sheikhpura ,258426,11460.0649593496,1,0,0,65,15,4883,246,20,13717,2,285,0.3,28.4917598,184,185,56844,63475,0,136277,148793,4948,28.1917598,172,34,0,0,100,NA
2025-2026,April,05,BIHAR,0504,ROHTAS,903800,92551.6321641791,1,1,0,117,125,17116,134,9,63028,0,4659,0,124.0191871,94,94,189118,234811,0,441880,554931,17233,124.0191871,22,35,36.97,18.49,100,NA
2025-2026,April,05,BIHAR,0510,SIWAN,711551,0,0,0,0,240,164,21055,0,0,34112,0,12428,0,82.8756816,0,0,160497,175302,0,441344,518608,21295,82.8756816,0,77,0,0,0,NA
